,title,artist,number,duration,download
38,People,Barbara Streisand,49,3:41,TRUE
39,Funny Girl,Barbra Streisand,1118,2:45,FALSE
40,"You're The First, The Last, My Everything",Barry White,796,3:24,TRUE
41,Saturday Night,Bay City Rollers,1228,2:58,TRUE
42,Brass Monkey,Beastie Boys,634,2:39,TRUE
43,Love Me Do,Beatles,50,2:23,TRUE
44,Gordon Lightfoot,Beautiful,180,3:23,TRUE
45,Amor,Ben E. King,583,3:05,TRUE
46,Oh My Angel,Bertha Tillman,511,2:22,TRUE
47,The Rose,Bette Midler,6,3:41,TRUE
48,Lovely Day,Bill Withers,823,4:07,FALSE
49,Ain't No Sunshine,Bill Withers,1058,2:06,TRUE
50,Flesh For Fantasy,Billy Idol,464,4:38,TRUE
51,White Wedding,Billy Idol,701,4:13,TRUE
52,Catch My Fall,Billy Idol,794,3:42,TRUE
53,Hot In The City,Billy Idol,920,3:38,TRUE
54,Rebel Yell,Billy Idol,1167,4:51,FALSE
55,An Innocent Man,Billy Joel,10,5:18,FALSE
56,Pressure,Billy Joel,205,4:41,TRUE
57,Just The Way You Are,Billy Joel,240,4:51,TRUE
58,Don't Ask Me Why,Billy Joel,969,2:59,TRUE
59,With You I'm Born Again,Billy Preston,540,3:42,TRUE
60,Don't Say You Love Me,Billy Squier,452,4:33,FALSE
61,The Stroke,Billy Squier,963,3:28,FALSE
62,My Kinda Lover,Billy Squier,1051,3:31,TRUE
63,I Can Help,Billy Swan,601,2:58,TRUE
64,Silent Night,Bing Crosby,123,2:42,TRUE
65,White Christmas,Bing Crosby,241,3:02,TRUE
66,Just A Friend,Biz Markie,827,4:01,TRUE
67,One Way or Another,Blondie,743,3:28,TRUE
68,Island Of Lost Souls,Blondie,1203,3:50,TRUE
69,Summertime Blues,Blue Cheer,1170,3:46,FALSE
70,Willie Nelson,Blue Eyes Cryin',126,2:21,TRUE
71,You Can't Judge A Book By The Cover,Bo Diddley,179,3:11,TRUE
72,Gotta Serve Somebody,Bob Dylan,282,5:26,FALSE
73,Old Time Rock & Roll,Bob Seger,249,3:15,TRUE
74,Like A Rock,Bob Seger,941,5:55,TRUE
75,Rock And Roll Never Forgets,Bob Seger,1071,3:36,FALSE
76,Night Moves,Bob Seger,1171,5:26,TRUE
77,Against The Wind,Bob Seger,1177,5:34,TRUE
78,Even Now,Bob Seger,1208,4:33,TRUE
79,American Storm,Bob Seger,1277,4:18,TRUE
80,Trying To Live My Life Without You,Bob Seger & The Silver Bullet Band,830,4:04,FALSE
81,I Love You So,Bobbi Martin,56,2:56,TRUE
82,Ode To Billie Joe,Bobbie Gentry,1168,4:16,FALSE
83,Detroit City,Bobby Bare,133,2:48,TRUE
84,If I Were A Carpenter,Bobby Darin,1265,3:01,FALSE
85,That's the Way I Feel About Cha,Bobby Womack,297,3:36,FALSE
86,Sweet Caroline (Good Times Never Seemed So Good),Bobby Womack,915,3:10,TRUE
87,Heaven Must Have Sent You,Bonnie Pointer,1232,3:36,FALSE
88,Nick of Time,Bonnie Raitt,627,3:53,TRUE
89,Feelin' Satisfied,Boston,952,4:12,TRUE
90,Amanda,Boston,1234,4:16,TRUE
91,Motown Philly,Boyz II Men,97,3:54,FALSE
92,If,Bread,106,2:36,TRUE
93,Sweet Surrender,Bread,847,2:37,TRUE
94,Sweet Nothin's,Brenda Lee,162,2:26,TRUE
95,As Usual,Brenda Lee,288,2:38,TRUE
96,Dum Dum,Brenda Lee,356,2:28,TRUE
97,Losing You,Brenda Lee,371,2:35,TRUE
98,Heart in Hand,Brenda Lee,484,2:31,TRUE
99,Too Many Rivers,Brenda Lee,696,2:52,TRUE
100,Everybody Loves Me but You,Brenda Lee,790,2:34,TRUE
101,Coming On Strong,Brenda Lee,968,2:05,TRUE
102,All Alone Am I,Brenda Lee,1253,2:46,TRUE
103,Theme From Electric Surfboard,Brother Jack McDuff,251,3:34,TRUE
104,Smokin' In The Boys Room,Brownsville station,256,2:59,TRUE
105,Hey Baby,Bruce Channel,789,2:23,TRUE
106,I m Goin Down,Bruce Springsteen,426,3:32,TRUE
107,My Hometown,Bruce Springsteen,1066,4:34,FALSE
108,Think Of Me,Buck Owens,1154,2:20,FALSE
109,I've Got A Tiger By The Tail,Buck Owens,1225,2:15,TRUE
110,Young Hearts Run Free,Candi Staton,390,3:42,FALSE
111,Let's work Together,Canned Heat,577,2:50,FALSE
112,On The Road Again,Canned Heat,688,5:03,TRUE
113,Everlasting Love,Carl Carlton,607,2:35,TRUE
114,A Very Special Love Song,Charlie Rich,779,2:46,TRUE
115,Lonely Weekends,Charlie Rich,1113,2:10,TRUE
116,Behind Closed Doors,Charlie Rich,1218,2:56,TRUE
117,I Want You To Want Me,Cheap Trick,188,3:44,TRUE
118,Dream Police,Cheap Trick,317,3:51,TRUE
119,Stop This Game,Cheap Trick,539,3:58,TRUE
120,Surrender,Cheap Trick,555,4:16,TRUE
121,Just Like Jesse James,Cher,821,4:06,TRUE
122,If I Could Turn Back Time,Cher,843,4:01,FALSE
123,Along Comes A Woman,Chicago,198,3:49,FALSE
124,Another Rainy Day in New York City,Chicago,208,3:02,TRUE
125,Feelin' Stronger Every Day,Chicago,366,4:14,TRUE
126,Old Days,Chicago,445,3:31,TRUE
127,Does Anybody Really Know What Time It Is,Chicago,700,3:20,TRUE
128,Make Me Smile,Chicago,1085,4:26,TRUE
129,Alive Again,Chicago,1240,4:06,TRUE
130,Talk to me,Chico DeBarge,590,3:53,FALSE
131,Swing Talkin' Guy,Chiffons,26,2:28,TRUE
132,Land Of 1000 Dances,Chris Kenner,1111,2:29,TRUE
133,The Twist,Chubby Checker,948,2:36,TRUE
134,Sweet Little Rock N' Roll,Chuck Berry,115,2:22,TRUE
135,Almost Grown,Chuck Berry,792,2:21,TRUE
136,Reelin' & Rockin',Chuck Berry,1110,3:17,TRUE
137,Patches,Clarence Carter,276,3:13,FALSE
138,Too Weak To Fight,Clarence Carter,585,2:18,TRUE
139,Carrie,Cliff Richard,51,3:45,TRUE
140,Living Doll,Cliff Richard,740,2:39,TRUE
141,Devil Woman,Cliff Richard,1073,3:35,TRUE
142,Daddy's Home,Cliff Richard,1161,3:01,FALSE
143,We Don't Talk Anymore,Cliff Richard,1273,4:14,TRUE
144,I Adore Mi Amor,Color Me Badd,476,4:51,TRUE
145,Still,Commodores,507,3:48,FALSE
146,Lady (You Bring Me Up),Commodores,716,4:01,TRUE
147,In Your Soul,Corey Hart,469,3:55,TRUE
148,Treat Her Like A Lady,Cornelius Brothers & Sister Rose,932,2:46,TRUE
149,Going To Chicago Blues,Count Basie,1149,4:14,FALSE
150,Sunshine of Your Love,Cream,114,4:13,TRUE
151,I Put A Spell On You,Creedence Clearwater Revival,61,4:14,FALSE
152,Bad Moon Rising,Creedence Clearwater Revival,852,2:13,TRUE
153,Got It Made,Crosby Stills and Nash,451,4:34,FALSE
154,Suite,"Crosby, Stills & Nash",518,7:29,FALSE
155,Southern Cross,"Crosby, Stills & Nash",589,4:41,TRUE
156,Teach Your Children,"Crosby, Stills & Nash",905,2:54,TRUE
157,Karma Chameleon,Culture Club,979,4:15,TRUE
158,I'll Tumble 4 Ya,Culture Club,1223,2:36,TRUE
159,She Bop,Cyndi Lauper,16,3:49,FALSE
160,All Through The Night,Cyndi Lauper,309,4:30,TRUE
161,The Goonies `R Good Enough,Cyndi Lauper,401,3:38,TRUE
162,True Colors,Cyndi Lauper,803,3:48,TRUE
163,I Drove All Night,Cyndi Lauper,1011,4:13,TRUE
164,Maneater,Daryl Hall & John Oates,633,4:34,TRUE
165,Sara Smile,Daryl Hall & John Oates,708,3:06,TRUE
166,Six Days On The Road,Dave Dudley,570,2:24,TRUE
167,Space Oddity,David Bowie,86,5:15,TRUE
168,Golden Years,David Bowie,415,3:29,FALSE
169,Blue Jean,David Bowie,818,3:12,TRUE
170,Modern Love,David Bowie,970,4:49,TRUE
171,Carry Me,"David Crosby,Graham Nash",1124,3:35,TRUE
172,Stand By Me,"David Ruffin, Jimmy Ruffin",119,3:49,TRUE
173,Me Myself And I,De La Soul,887,3:41,FALSE
174,Everybody Loves Somebody,Dean Martin,618,2:42,TRUE
175,I Will,Dean Martin,734,2:23,TRUE
176,Time Will Reveal,Debarge,1013,4:08,FALSE
177,World In My Eyes,Depeche Mode,442,3:60,TRUE
178,Upside Down,Diana Ross,1285,3:43,FALSE
179,The Humpty Dance,Digital Underground,304,6:28,FALSE
180,Unforgettable,Dinah Washington,192,2:44,TRUE
181,Where Are You,Dinah Washington,722,2:16,TRUE
182,Runaround Sue,Dion,145,2:43,FALSE
183,Love Came To Me,Dion,253,2:46,TRUE
184,Where Or When,Dion,434,2:40,TRUE
185,Ruby Baby,Dion,439,2:37,TRUE
186,This Little Girl,Dion,1063,2:38,TRUE
187,(I was) Born To Cry,Dion,1101,2:27,TRUE
188,"Abraham, Martin And John",Dion,1146,3:20,TRUE
189,Lovers Who Wander,Dion,1210,2:32,TRUE
190,Baby I'm Burnin',Dolly Parton,559,2:38,TRUE
191,Starting Over Again,Dolly Parton,944,3:58,TRUE
192,Superman,Donna Fargo,358,2:27,TRUE
193,Last Dance,Donna Summer,501,3:20,TRUE
194,Sunshine Superman,Donovan,383,4:40,TRUE
195,A Lesson in Leavin,Dottie West,101,3:03,TRUE
196,Ten Percent,Double Exposure,1164,3:16,FALSE
197,Years From Now,Dr. Hook,656,3:16,TRUE
198,Walk Right In,Dr. Hook,761,3:04,TRUE
199,Sexy Eyes,Dr. Hook,831,3:33,FALSE
200,If Not You,Dr. Hook,914,3:16,TRUE
201,The Millionaire,Dr. Hook,1009,3:01,TRUE
202,Only Sixteen,Dr. Hook,1190,2:46,TRUE
203,Right Place Wrong Time,Dr. John,483,5:35,FALSE
204,All she wants is,Duran Duran,592,4:27,TRUE
205,Is There Something I Should Know,Duran Duran,1043,4:10,TRUE
206,I Don t Want Your Love,Duran Duran,1148,3:48,FALSE
207,Lyin' Eyes,Eagles,296,6:21,TRUE
208,The Long Run,Eagles,591,3:42,TRUE
209,Best Of My Love,Eagles,1061,4:35,TRUE
210,Getaway,Earth Wind and Fire,735,3:46,TRUE
211,September,"Earth, Wind & Fire",804,2:28,FALSE
212,After The Love Has Gone,"Earth, Wind & Fire",1056,4:41,TRUE
213,Jamie,Eddie Holland,1046,2:25,TRUE
214,I Love A Rainy Night,Eddie Rabbitt,1143,3:10,TRUE
215,Frankenstein,Edgar Winter,1268,3:28,FALSE
216,War,Edwin Starr,893,3:29,TRUE
217,I Had Too Much To Dream,Electric Prunes,134,2:60,TRUE
218,Philadelphia Freedom,Elton John,354,5:23,TRUE
219,Levon,Elton John,752,5:22,TRUE
220,Goodbye Yellow Brick Road,Elton John,842,3:15,TRUE
221,The Bitch Is Back,Elton John,991,3:38,FALSE
222,Who Wears These Shoes,Elton John,1269,4:03,FALSE
223,Little Sister,Elvis Presley,159,2:32,TRUE
224,For Ol' Times Sake,Elvis Presley,222,3:38,TRUE
225,Guitar Man,Elvis Presley,289,2:57,FALSE
226,My Boy,Elvis Presley,326,3:21,TRUE
227,I Really Don't Want To Know,Elvis Presley,386,2:46,TRUE
228,One Night,Elvis Presley,399,2:31,TRUE
229,If I Can Dream,Elvis Presley,543,3:12,TRUE
230,Judy,Elvis Presley,565,2:12,TRUE
231,His Latest Flame,Elvis Presley,617,2:09,TRUE
232,Ask Me,Elvis Presley,658,2:08,TRUE
233,My Way,Elvis Presley,793,4:34,TRUE
234,She Thinks I Still Care,Elvis Presley,875,3:52,TRUE
235,There Goes My Everything,Elvis Presley,993,2:60,TRUE
236,My Wish Came True,Elvis Presley,1055,2:35,TRUE
237,Lucky Man,"Emerson, Lake & Palmer",1180,4:41,TRUE
238,After the Lovin',Engelbert Humperdinck,506,3:56,TRUE
239,Sunrise,Eric Carmen,655,5:21,TRUE
240,Hungry Eyes,Eric Carmen,791,4:08,TRUE
241,Let It Rain,Eric Clapton,116,5:02,TRUE
242,Promises,Eric Clapton,124,3:01,TRUE
243,Forever Man,Eric Clapton,155,3:12,TRUE
244,Willie And The Hand Jive,Eric Clapton,194,11:42,FALSE
245,I Can't Stand It,Eric Clapton,898,4:10,TRUE
246,Lay Down Sally,Eric Clapton,1040,3:51,TRUE
247,Stop the Wedding,Etta James,127,2:54,TRUE
248,Fool That I Am,Etta James,515,2:58,TRUE
249,Would It Make Any Difference To You,Etta James,726,2:39,TRUE
250,I'm In Love,"Evelyn ""Champagne"" King",482,5:04,FALSE
251,I Want To Walk You Home,Fats Domino,773,2:22,TRUE
252,Be My Guest,Fats Domino,1072,2:16,TRUE
253,Don t Treat Me Bad,Firehouse,258,5:23,FALSE
254,Absolutely Right,Five Man Electrical Band,41,2:22,TRUE
255,Foggy Mountain Breakdown,Flatt & Scruggs,37,2:42,TRUE
256,Last Date,Floyd Cramer,788,2:30,TRUE
257,Hocus Pocus,Focus,381,3:27,TRUE
258,Drivin' Wheel,Foghat,75,4:31,TRUE
259,Rescue Me,Fontella Bass,777,2:53,TRUE
260,Standing In The Shadows Of Love,Four Tops,1192,2:39,TRUE
261,Have You Ever Loved Somebody,Freddie Jackson,122,4:37,TRUE
262,Living It Down,Freddy Fender,346,2:36,TRUE
263,Secret Love,Freddy Fender,872,3:35,TRUE
264,Jimi Hendrix,Freedom,35,4:23,FALSE
265,Quarter To Three,Gary U.S. Bonds,571,2:31,TRUE
266,Town Without,Gene Pitney,1037,2:52,TRUE
267,Tenderness,General Public,389,3:37,TRUE
268,"Tonight, Tonight, Tonight",Genesis,236,8:54,TRUE
269,Misunderstanding,Genesis,393,3:15,TRUE
270,Invisible Touch,Genesis,1126,3:29,TRUE
271,Abacab,Genesis,1256,8:47,FALSE
272,Breezin',George Benson,967,5:42,TRUE
273,This Song,George Harrison,361,4:14,FALSE
274,Blow Away,George Harrison,419,4:01,TRUE
275,Years Ago,George Harrison,517,3:47,TRUE
276,I Got My Mind Set On You,George Harrison,845,3:55,TRUE
277,Crackerbox Palace,George Harrison,1282,3:58,TRUE
278,Hurts To Be In Love,Gino Vanelli,62,3:43,TRUE
279,Black Cars,Gino Vannelli,68,3:10,TRUE
280,Wild Horses,Gino Vannelli,407,4:40,TRUE
281,Letter Full of Tears,Gladys Knight & The Pips,112,2:46,TRUE
282,Best Thing That Ever Happened To Me,Gladys Knight & The Pips,380,3:47,FALSE
283,Baby Don't Change Your Mind,Gladys Knight & The Pips,705,3:15,TRUE
284,If I Were Your Woman,Gladys Night & The Pips,343,3:14,TRUE
285,Galveston,Glen Campbell,224,2:42,
286,Rhinestone Cowboy,Glen Campbell,246,3:15,
287,Sunflower,Glen Campbell,347,2:52,
288,It's Only Make Believe,Glen Campbell,623,2:27,
289,Wichita Lineman,Glen Campbell,1114,3:07,
290,Never Can Say Goodbye,Gloria Gaynor,190,2:58,
291,Chicago,Graham Nash,25,4:01,
292,Walk Like A Man,Grand Funk Railroad,762,4:05,
293,Lucky,Greg Kihn,1027,4:27,
294,Happy Man,Greg Kihn Band,1246,2:55,
295,Kiss On My List,Hall & Oates,18,3:51,
296,Rich Girl,Hall and Oates,485,2:27,
297,I've Been Everywhere,Hank Snow,1059,2:47,
298,Sunday Morning Sunshine,Harry Chapin,412,3:48,
299,Crazy On You,Heart,33,4:52,
300,Magic Man,Heart,215,5:29,
301,There's the Girl,Heart,281,3:55,
302,Who Will You Run To,Heart,1089,4:05,
303,I Like The Way (The Kissing Game),Hi-Five,856,3:58,
304,I Want a New Drug,Huey Lewis & The News,430,4:46,
305,Need You Tonight,INXS,687,3:10,
306,Yvonne Elliman,If I Can't Have You,34,3:00,
307,I Want To Take You Higher,Ike & Tina Turner,204,2:53,
308,It's Gonna Work Out Fine,Ike & Tina Turner,212,3:04,
309,Wish Someone Would Care,Irma Thomas,598,2:14,
310,In-A-Gadda-Da-Vida,Iron Butterfly,261,2:54,
311,Do your thing,Isaac Hayes,216,3:20,
312,The Look Of Love,Isaac Hayes,978,11:14,
313,Last Kiss,J. Frank Wilson & The Cavaliers,54,2:28,
314,One Last Kiss,J. Geils Band,478,4:24,
315,Freeze-Frame,J. Geils Band,1002,3:60,
316,Baby Workout,Jackie Wilson,672,3:51,
317,Here Come Those Tears Again,Jackson Browne,395,3:37,
318,Redneck Friend,Jackson Browne,545,4:01,
319,Boulevard,Jackson Browne,561,3:21,
320,Running On Empty,Jackson Browne,1155,4:59,
321,I Don't mind,James Brown,3,2:31,
322,Cold Sweat - Part 1,James Brown,79,2:52,
323,I Got You (I Feel Good),James Brown,314,2:49,
324,My Thang,James Brown,490,4:39,
325,Baby You're Right,James Brown,533,2:59,
326,Think,James Brown,640,2:46,
327,Get Up (I Feel Like Being Like A) Sex Machine (Part 1),James Brown,857,5:19,
328,Down And Out In New York City,James Brown,1032,4:46,
329,Country Road,James Taylor,901,3:23,
330,Little Old Lady From Pasadena,Jan & Dean,635,2:47,
331,"The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Association",Jan & Dean,689,2:45,
332,Sidewalk Surfin',Jan & Dean,1272,2:42,
333,Kozmic Blues,Janis Joplin,397,4:24,
334,People Get Ready,Jeff Beck,698,4:56,
335,Count On Me,Jefferson Starship,1045,3:18,
336,Let's Get Serious,Jermaine Jackson,811,3:36,
337,Mr. Bojangles,Jerry Jeff Walker,294,3:54,
338,Ko-Ko Joe,Jerry Reed,713,2:35,
339,"Right Here, Right Now",Jesus Jones,1169,3:06,
340,Living In The Past,Jethro Tull,706,3:23,
341,Come Monday,Jimmy Buffett,758,3:09,
342,Just A Dream,Jimmy Clanton,185,2:32,
343,"Wonderful World, Beautiful People",Jimmy Cliff,203,3:11,
344,Handy Man,Jimmy Jones,250,2:02,
345,Baby What You Want Me To Do,Jimmy Reed,1024,2:50,
346,I've Passed This Way Before,Jimmy Ruffin,1044,2:49,
347,Walk On The Wild Side (Part 1),Jimmy Smith,455,5:57,
348,There But For Fortune,Joan Baez,1087,3:15,
349,With A Little Help From My Friends,Joe Cocker,675,3:13,
350,Annie's Song,John Denver,182,3:02,
351,Back Home Again,John Denver,235,4:46,
352,It Amazes Me,John Denver,245,2:40,
353,Seasons Of The Heart,John Denver,463,3:51,
354,Some Days Are Diamonds (Some Days Are Stone),John Denver,711,4:03,
355,Rocky Mountain High,John Denver,720,4:46,
356,The Ways Of A Woman In Love,Johnny Cash,787,2:17,
357,I Got Stripes,Johnny Cash,1160,2:05,
358,The Battle Of New Orleans,Johnny Horton,500,2:33,
359,Johnny Reb,Johnny Horton,1287,2:21,
360,Lookin' for Love,Johnny Lee,12,3:32,
361,Worried Guy,Johnny Tillotson,267,2:30,
362,"I Rise, I Fall",Johnny Tillotson,355,2:18,
363,Jimmy's Girl,Johnny Tillotson,410,2:45,
364,Out Of My Mind,Johnny Tillotson,638,2:37,
365,It Keeps Right On A-Hurtin',Johnny Tillotson,1041,2:50,
366,Talk Back Trembling Lips,Johnny Tillotson,1141,2:39,
367,"(You're So Square) Baby, I Don't Care",Joni Mitchell,417,2:38,
368,Big Yellow Taxi,Joni Mitchell,668,2:48,
369,You've Got Another Thing Comin',Judas Priest,861,5:11,
370,Break It To Me Gently,Juice Newton,303,4:03,
371,Queen Of Hearts,Juice Newton,690,3:30,
372,Lambada,Kaoma,1270,3:24,
373,Running Up That Hill,Kate Bush,531,5:01,
374,You Decorated My Life,Kenny Rogers,238,3:40,
375,Through The Years,Kenny Rogers,338,4:46,
376,Scarlet Fever,Kenny Rogers,372,3:58,
377,Sweet Music Man,Kenny Rogers,472,4:20,
378,I Don't Need You,Kenny Rogers,494,3:29,
379,Lucille,Kenny Rogers,731,3:43,
380,Lady,Kenny Rogers,1258,3:55,
381,Rocket Ride,Kiss,610,4:07,
382,Jungle Boogie,Kool and the Gang,331,3:06,
383,Loving Her Was Easier,Kris Kristofferson,1135,3:47,
384,See See Rider,LaVern Baker,425,2:29,
385,I Cried A Tear,LaVern Baker,822,2:36,
386,Gloria,Laura Branigan,995,3:54,
387,Over The Hills and Far Away,Led Zeppelin,53,5:08,
388,Trampled Under Foot,Led Zeppelin,525,5:35,
389,Dyer Maker,Led Zepplin,749,4:23,
390,You Make Me Feel Like Dancing,Leo Sayer,986,2:54,
391,You Don't Own Me,Lesley Gore,1211,2:32,
392,California Nights,Leslie Gore,813,2:50,
393,Something About You,Level 42,158,3:47,
394,When Will I Be Loved,Linda Ronstadt,324,2:05,
395,"Out Of Sight, Out Of Mind",Little Anthony & The Imperials,927,2:40,
396,Bongo Stomp,Little Joey & The Flips,67,2:17,
397,Reminiscing,Little River Band,77,3:32,
398,We Two,Little River Band,104,4:34,
399,Help Is On The Way,Little River Band,187,4:02,
400,The Other Guy,Little River Band,310,2:49,
401,Happy Anniversary,Little River Band,1174,4:01,
402,Brandy,Looking Glass,128,3:08,
403,Will The Wolf Survive,Los Lobos,1119,3:43,
404,Hello Dolly,Louis Armstrong,650,2:28,
405,That Old Black Magic,Louis Prima & Keely Smith,746,2:57,
406,Sweet Home Alabama,Lynyrd Skynyrd,107,4:44,
407,Oh Father,Madonna,1140,4:59,
408,Live To Tell,Madonna,1173,5:52,
409,Walking In Memphis,Marc Cohn,775,4:16,
410,Paper Roses,Marie Osmond,1245,2:42,
411,Good Vibrations,Marky Mark & The Funky Bunch,352,4:30,
412,Nowhere To Run,Martha Reeves & The Vandellas,74,2:59,
413,Big Iron,Marty Robbins,814,3:57,
414,I Walk Alone,Marty Robbins,1054,3:20,
415,I Want You,Marvin Gaye,319,3:59,
416,Mercy Mercy Me (The Ecology),Marvin Gaye,819,2:31,
417,It Takes Two,Marvin Gaye & Kim Weston,280,3:00,
418,If I Could Build My Whole World Around You,Marvin Gaye & Tammy Terrell,619,2:26,
419,Torn Between Two Lovers,Mary MacGregor,1138,3:43,
420,Shape Of Things To Come,Max Frost & The Troopers,257,1:54,
421,You Took The Words Right Out Of My Mouth,Meat Loaf,807,4:50,
422,Paradise by the Dashboard Light,Meatloaf,71,9:31,
423,Comin' Home Baby,Mel Torme,213,2:44,
424,No Charge,Melba Montgomery,167,3:14,
425,One,Metallica,884,7:24,
426,I Just Can't Stop Loving You,Michael Jackson,85,4:14,
427,Wanna Be Startin' Somethin',Michael Jackson,223,6:02,
428,Beat It,Michael Jackson,629,4:18,
429,Human Nature,Michael Jackson,637,4:06,
430,Man In The Mirror,Michael Jackson,1188,5:20,
431,Almost by Being In Love,Michael Johnson,547,3:54,
432,Maniac,Michael Sembello,553,4:13,
433,Girl You Know It s True,Milli Vanilli,913,4:13,
434,Girl I m Gonna Miss You,Milli Vanilli,1039,3:58,
435,Baby Don t Forget My Number,Milli Vanilli,1276,6:28,
436,Lovin' You,Minnie Riperton,1257,3:24,
437,Simon & Garfunkel,Mrs. Robinson,616,4:05,
438,These Boots Are Made For Walkin',Nancy Sinatra,284,2:34,
439,Ramblin' Rose,Nat King Cole,220,2:49,
440,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,516,2:25,
441,Unforgettable,Natalie Cole,982,3:13,
442,I've Got Love On My Mind,Nathalie Cole,177,4:21,
443,Breaking Up Is Hard To Do,Neil Sedaka,728,2:19,
444,Kisses On The Wind,Neneh Cherry,370,3:57,
445,Hot Child in the City,Nick Gilder,615,3:09,
446,Buy For Me The Rain,Nitty Gritty Dirt Band,88,2:23,
447,Make A Little Magic,Nitty Gritty Dirt Band,859,3:55,
448,Elvira,Oak Ridge Boys,864,2:41,
449,Put Your Hand In The Hand,Ocean,429,2:56,
450,Good Morning Starshine,Oliver,834,3:39,
451,I've Been Loving You Too Long (To Stop Now),Otis Redding,502,3:16,
452,(Sittin' On) The Dock Of The Bay,Otis Redding,645,2:45,
453,Chained And Bound,Otis Redding,678,2:41,
454,The Night Chicago Died,Paper Lace,767,3:37,
455,Promises In The Dark,Pat Benatar,227,4:48,
456,Love Is A Battlefield,Pat Benatar,741,4:11,
457,Little Too Late,Pat Benatar,973,4:08,
458,Heartbreaker,Pat Benatar,1053,3:27,
459,Fire And Ice,Pat Benetar,89,3:20,
460,Born To Be Alive,Patrick Hernandez,259,3:35,
461,Love Me Warm And Tender,Paul Anka,196,2:22,
462,Let Me Get To Know You,Paul Anka,325,3:21,
463,Maybe I'm Amazed,Paul McCartney,206,3:53,
464,With a Little Luck,Paul McCartney,456,5:46,
465,Press,Paul McCartney,772,4:43,
466,My Love,Paul McCartney & Wings,1163,4:08,
467,Kicks,Paul Revere & The Raiders,1181,2:29,
468,You Can Call Me Al,Paul Simon,81,4:41,
469,50 Ways To Leave Your Lover,Paul Simon,824,3:15,
470,Shake Your Groove Thing,Peaches and Herb,550,5:33,
471,Is That All There Is,Peggy Lee,59,4:24,
472,Fever,Peggy Lee,396,3:23,
473,Always on My Mind,Pet Shop Boys,184,3:55,
474,Where The Streets Have No Names,Pet Shop Boys,382,4:33,
475,Love Comes Quickly,Pet Shop Boys,526,4:19,
476,What Have I Done To Deserve This?,Pet Shop Boys,648,4:20,
477,Shock the Monkey,Peter Gabriel,92,3:59,
478,Two Hearts,Phil Collins,43,3:25,
479,Money,Pink Floyd,269,6:46,
480,Another Brick In The Wall (Part II),Pink Floyd,1052,3:60,
481,Baby Come Back,Player,1003,3:38,
482,He's so shy,Pointer Sisters,663,3:40,
483,Unskinny Bop,Poison,810,3:49,
484,Don't stand so close to me,Police,492,4:03,
485,The Arms Of Orion,Prince & Sheena Easton,1019,4:28,
486,Pretty In Pink,Psychedelic Furs,729,4:40,
487,Amie,Pure Prairie League,406,4:21,
