,title,artist,number,duration,t_eps,href,ds,wav,npz,chords
104,just_a_dream,jimmy_clanton,185,02:32,0.0,,billboard,not tried,not tried,not tried
105,i_want_you_to_want_me,cheap_trick,188,03:44,0.0,,billboard,not tried,not tried,not tried
106,never_can_say_goodbye,gloria_gaynor,190,02:58,0.0,,billboard,not tried,not tried,not tried
107,people_got_to_be_free,the_rascals,191,03:02,1.0,,billboard,not tried,not tried,not tried
108,unforgettable,dinah_washington,192,02:44,1.0,,billboard,not tried,not tried,not tried
109,shadow_dancing,andy_gibb,193,04:34,0.0,,billboard,not tried,not tried,not tried
110,willie_and_the_hand_jive,eric_clapton,194,11:42,0.0,,billboard,not tried,not tried,not tried
111,love_me_warm_and_tender,paul_anka,196,02:22,0.0,,billboard,not tried,not tried,not tried
112,along_comes_a_woman,chicago,198,03:49,0.0,,billboard,not tried,not tried,not tried
113,love_train,the_ojays,202,03:00,0.0,,billboard,not tried,not tried,not tried
114,wonderful_world_beautiful_people,jimmy_cliff,203,03:11,-1.0,,billboard,not tried,not tried,not tried
115,i_want_to_take_you_higher,ike__and__tina_turner,204,02:53,-1.0,,billboard,not tried,not tried,not tried
116,pressure,billy_joel,205,04:41,-1.0,,billboard,not tried,not tried,not tried
117,maybe_im_amazed,paul_mccartney,206,03:53,0.0,,billboard,not tried,not tried,not tried
118,back_in_the_high_life_again,steve_winwood,207,04:23,-1.0,,billboard,not tried,not tried,not tried
119,another_rainy_day_in_new_york_city,chicago,208,03:02,0.0,,billboard,not tried,not tried,not tried
120,already_gone,the_eagles,209,04:16,1.0,,billboard,not tried,not tried,not tried
121,shes_a_lady,tom_jones,210,02:30,-2.0,,billboard,not tried,not tried,not tried
122,its_gonna_work_out_fine,ike__and__tina_turner,212,03:04,0.0,,billboard,not tried,not tried,not tried
123,comin_home_baby,mel_torme,213,02:44,0.0,,billboard,not tried,not tried,not tried
124,the_right_time,ray_charles,214,03:25,1.0,,billboard,not tried,not tried,not tried
125,magic_man,heart,215,05:29,0.0,,billboard,not tried,not tried,not tried
126,do_your_thing,isaac_hayes,216,03:20,0.0,,billboard,not tried,not tried,not tried
127,jessies_girl,rick_springfield,217,03:17,1.0,,billboard,not tried,not tried,not tried
128,fernando,abba,218,04:16,0.0,,billboard,not tried,not tried,not tried
129,ramblin_rose,nat_king_cole,220,02:49,0.0,,billboard,not tried,not tried,not tried
130,feel_like_making_love,roberta_flack,221,02:57,-1.0,,billboard,not tried,not tried,not tried
131,for_ol_times_sake,elvis_presley,222,03:38,-1.0,,billboard,not tried,not tried,not tried
132,wanna_be_startin_somethin,michael_jackson,223,06:02,-1.0,,billboard,not tried,not tried,not tried
133,galveston,glen_campbell,224,02:42,0.0,,billboard,not tried,not tried,not tried
134,promises_in_the_dark,pat_benatar,227,04:48,-1.0,,billboard,not tried,not tried,not tried
135,still_cruisin,the_beach_boys,228,03:36,1.0,,billboard,not tried,not tried,not tried
136,honky_tonk_women,the_rolling_stones,229,03:02,0.0,,billboard,not tried,not tried,not tried
137,knowing_me_knowing_you,abba,231,04:04,0.0,,billboard,not tried,not tried,not tried
138,life_is_a_carnival,the_band,234,03:55,-2.0,,billboard,not tried,not tried,not tried
139,back_home_again,john_denver,235,04:46,0.0,,billboard,not tried,not tried,not tried
140,tonight_tonight_tonight,genesis,236,08:54,0.0,,billboard,not tried,not tried,not tried
141,you_decorated_my_life,kenny_rogers,238,03:40,0.0,,billboard,not tried,not tried,not tried
142,sail_on_sailor,the_beach_boys,239,03:19,0.0,,billboard,not tried,not tried,not tried
143,just_the_way_you_are,billy_joel,240,04:51,0.0,,billboard,not tried,not tried,not tried
144,white_christmas,bing_crosby,241,03:02,0.0,,billboard,not tried,not tried,not tried
145,because_i_love_you,stevie_b,242,04:22,0.0,,billboard,not tried,not tried,not tried
146,have_you_seen_your_mother_baby_standing_in_the_shadow?,the_rolling_stones,244,02:34,0.0,,billboard,not tried,not tried,not tried
147,rhinestone_cowboy,glen_campbell,246,03:15,0.0,,billboard,not tried,not tried,not tried
148,last_kiss,j._frank_wilson__and__the_cavaliers,247,02:28,0.0,,billboard,not tried,not tried,not tried
149,id_love_to_change_the_world,ten_years_after,248,03:45,0.0,,billboard,not tried,not tried,not tried
150,old_time_rock__and__roll,bob_seger,249,03:15,0.0,,billboard,not tried,not tried,not tried
151,handy_man,jimmy_jones,250,02:02,0.0,,billboard,not tried,not tried,not tried
152,theme_from_electric_surfboard,brother_jack_mcduff,251,03:34,0.0,,billboard,not tried,not tried,not tried
153,love_came_to_me,dion,253,02:46,0.0,,billboard,not tried,not tried,not tried
154,sanctify_yourself,simple_minds,254,04:59,0.0,,billboard,not tried,not tried,not tried
155,smokin_in_the_boys_room,brownsville_station,256,02:59,0.0,,billboard,not tried,not tried,not tried
156,shape_of_things_to_come,max_frost__and__the_troopers,257,01:54,0.0,,billboard,not tried,not tried,not tried
157,don_t_treat_me_bad,firehouse,258,05:23,0.0,,billboard,not tried,not tried,not tried
158,born_to_be_alive,patrick_hernandez,259,03:35,-2.0,,billboard,not tried,not tried,not tried
159,shes_a_lady,tom_jones,260,02:30,-2.0,,billboard,not tried,not tried,not tried
160,in-a-gadda-da-vida,iron_butterfly,261,02:54,0.0,,billboard,not tried,not tried,not tried
161,last_kiss,wednesday,263,02:36,1.0,,billboard,not tried,not tried,not tried
162,dandelion,rolling_stones,264,03:48,0.0,,billboard,not tried,not tried,not tried
163,last_night_i_didnt_get_to_sleep_at_all,the_5th_dimension,265,03:12,0.0,,billboard,not tried,not tried,not tried
164,worried_guy,johnny_tillotson,267,02:30,0.0,,billboard,not tried,not tried,not tried
165,time_for_me_to_fly,reo_speedwagon,268,03:33,0.0,,billboard,not tried,not tried,not tried
166,money,pink_floyd,269,06:46,0.0,,billboard,not tried,not tried,not tried
167,in_my_room,the_beach_boys,270,02:15,1.0,,billboard,not tried,not tried,not tried
168,addicted_to_love,robert_palmer,271,04:25,0.0,,billboard,not tried,not tried,not tried
169,promises_in_the_dark,pat_benatar,275,04:48,0.0,,billboard,not tried,not tried,not tried
170,patches,clarence_carter,276,03:13,0.0,,billboard,not tried,not tried,not tried
171,waiting_on_a_friend,rolling_stones,278,04:34,0.0,,billboard,not tried,not tried,not tried
172,born_to_be_alive,patrick_hernandez,279,03:35,-2.0,,billboard,not tried,not tried,not tried
173,it_takes_two,marvin_gaye__and__kim_weston,280,03:00,1.0,,billboard,not tried,not tried,not tried
174,theres_the_girl,heart,281,03:55,0.0,,billboard,not tried,not tried,not tried
175,gotta_serve_somebody,bob_dylan,282,05:26,1.0,,billboard,not tried,not tried,not tried
176,these_boots_are_made_for_walkin,nancy_sinatra,284,02:34,0.0,,billboard,not tried,not tried,not tried
177,as_usual,brenda_lee,288,02:38,1.0,,billboard,not tried,not tried,not tried
178,guitar_man,elvis_presley,289,02:57,0.0,,billboard,not tried,not tried,not tried
179,chicago,25_or_6_to_4,292,04:50,1.0,,billboard,not tried,not tried,not tried
180,every_little_thing_she_does_is_magic,the_police,293,04:21,0.0,,billboard,not tried,not tried,not tried
181,mr._bojangles,jerry_jeff_walker,294,03:54,0.0,,billboard,not tried,not tried,not tried
182,just_the_way_you_are,billy_joel,295,04:51,0.0,,billboard,not tried,not tried,not tried
183,lyin_eyes,eagles,296,06:21,0.0,,billboard,not tried,not tried,not tried
184,thats_the_way_i_feel_about_cha,bobby_womack,297,03:36,1.0,,billboard,not tried,not tried,not tried
185,here_i_go_again,whitesnake,300,04:38,0.0,,billboard,not tried,not tried,not tried
186,do_you_want_to_know_a_secret,the_beatles,302,01:59,0.0,,billboard,not tried,not tried,not tried
187,break_it_to_me_gently,juice_newton,303,04:03,0.0,,billboard,not tried,not tried,not tried
188,the_humpty_dance,digital_underground,304,06:28,0.0,,billboard,not tried,not tried,not tried
189,in_the_navy,village_people,306,03:46,0.0,,billboard,not tried,not tried,not tried
190,cruisin,smokey_robinson,307,04:30,1.0,,billboard,not tried,not tried,not tried
191,you_cant_roller_skate_in_a_buffalo_herd,roger_miller,308,01:52,0.0,,billboard,not tried,not tried,not tried
192,all_through_the_night,cyndi_lauper,309,04:30,0.0,,billboard,not tried,not tried,not tried
193,the_other_guy,little_river_band,310,02:49,-1.0,,billboard,not tried,not tried,not tried
194,daydream_believer,anne_murray,312,02:27,-1.0,,billboard,not tried,not tried,not tried
195,i_got_you_i_feel_good,james_brown,314,02:49,1.0,,billboard,not tried,not tried,not tried
196,come_and_get_your_love,redbone,315,03:34,1.0,,billboard,not tried,not tried,not tried
197,dream_police,cheap_trick,317,03:51,0.0,,billboard,not tried,not tried,not tried
198,wheels,the_string-a-longs,318,02:04,0.0,http://vkmusic.me/the-string-a-longs-wheels/,billboard,not tried,not tried,not tried
199,i_want_you,marvin_gaye,319,03:59,0.0,,billboard,not tried,not tried,not tried
200,bird_dog,the_everly_brothers,322,02:17,0.0,,billboard,not tried,not tried,not tried
201,dream_police,cheap_trick,323,03:51,0.0,,billboard,not tried,not tried,not tried
202,when_will_i_be_loved,linda_ronstadt,324,02:05,1.0,,billboard,not tried,not tried,not tried
203,let_me_get_to_know_you,paul_anka,325,03:21,0.0,,billboard,not tried,not tried,not tried
204,my_boy,elvis_presley,326,03:21,-1.0,,billboard,not tried,not tried,not tried
205,smoking_gun,the_robert_cray_band,329,04:01,1.0,,billboard,not tried,not tried,not tried
206,jungle_boogie,kool_and_the_gang,331,03:06,0.0,,billboard,not tried,not tried,not tried
207,waiting_on_a_friend,rolling_stones,332,04:34,0.0,,billboard,not tried,not tried,not tried
208,somebody_s_watching_me,rockwell,334,04:02,1.0,,billboard,not tried,not tried,not tried
209,do_you_love_me,the_contours,335,02:54,0.0,,billboard,not tried,not tried,not tried
210,your_love_has_lifted_me_higher,rita_coolidge,336,04:03,1.0,,billboard,not tried,not tried,not tried
211,through_the_years,kenny_rogers,338,04:46,1.0,,billboard,not tried,not tried,not tried
212,deeper_shade_of_soul,urban_dance_squad,339,04:34,-2.0,,billboard,not tried,not tried,not tried
213,easy,the_commodores,341,04:24,0.0,,billboard,not tried,not tried,not tried
214,if_i_were_your_woman,gladys_night__and__the_pips,343,03:14,-1.0,,billboard,not tried,not tried,not tried
215,doo_doo_doo_doo_doo,the_rolling_stones,345,03:28,0.0,,billboard,not tried,not tried,not tried
216,living_it_down,freddy_fender,346,02:36,0.0,,billboard,not tried,not tried,not tried
217,sunflower,glen_campbell,347,02:52,0.0,,billboard,not tried,not tried,not tried
218,the_best,tina_turner,348,05:29,-1.0,,billboard,not tried,not tried,not tried
219,don_t_treat_me_bad,firehouse,349,05:23,0.0,,billboard,not tried,not tried,not tried
220,roll_on_down_the_highway,bachman-turner_overdrive,351,04:00,2.0,,billboard,not tried,not tried,not tried
221,good_vibrations,marky_mark__and__the_funky_bunch,352,04:30,1.0,,billboard,not tried,not tried,not tried
222,i_cant_drive_55,sammy_hagar,353,04:10,0.0,,billboard,not tried,not tried,not tried
223,philadelphia_freedom,elton_john,354,05:23,-1.0,,billboard,not tried,not tried,not tried
224,i_rise_i_fall,johnny_tillotson,355,02:18,0.0,,billboard,not tried,not tried,not tried
225,dum_dum,brenda_lee,356,02:28,0.0,,billboard,not tried,not tried,not tried
226,just_like_heaven,the_cure,359,03:32,0.0,,billboard,not tried,not tried,not tried
227,i_want_to_take_you_higher,ike__and__tina_turner,360,02:53,0.0,,billboard,not tried,not tried,not tried
228,this_song,george_harrison,361,04:14,0.0,,billboard,not tried,not tried,not tried
229,last_kiss,wednesday,362,02:36,1.0,,billboard,not tried,not tried,not tried
230,evil_ways,santana,364,03:58,0.0,,billboard,not tried,not tried,not tried
231,feelin_stronger_every_day,chicago,366,04:14,0.0,,billboard,not tried,not tried,not tried
232,undercover_angel,alan_oday,367,03:33,0.0,,billboard,not tried,not tried,not tried
233,kind_of_a_drag,the_buckinghams,369,02:10,0.0,,billboard,not tried,not tried,not tried
234,kisses_on_the_wind,neneh_cherry,370,03:57,0.0,,billboard,not tried,not tried,not tried
235,losing_you,brenda_lee,371,02:35,1.0,,billboard,not tried,not tried,not tried
236,i_cant_stand_the_rain,ann_peebles,377,02:34,1.0,,billboard,not tried,not tried,not tried
237,the_humpty_dance,digital_underground,378,06:28,0.0,,billboard,not tried,not tried,not tried
238,best_thing_that_ever_happened_to_me,gladys_knight__and__the_pips,380,03:47,1.0,,billboard,not tried,not tried,not tried
239,hocus_pocus,focus,381,03:27,1.0,,billboard,not tried,not tried,not tried
240,where_the_streets_have_no_names,pet_shop_boys,382,04:33,0.0,,billboard,not tried,not tried,not tried
241,sunshine_superman,donovan,383,04:40,-1.0,,billboard,not tried,not tried,not tried
242,if_you_love_somebody_set_them_free,sting,384,04:16,0.0,,billboard,not tried,not tried,not tried
243,hold_on,wilson_phillips,385,03:41,1.0,,billboard,not tried,not tried,not tried
244,i_really_dont_want_to_know,elvis_presley,386,02:46,0.0,,billboard,not tried,not tried,not tried
245,time_is_on_my_side,rolling_stones,387,02:59,0.0,,billboard,not tried,not tried,not tried
246,tenderness,general_public,389,03:37,-1.0,,billboard,not tried,not tried,not tried
247,young_hearts_run_free,candi_staton,390,03:42,1.0,,billboard,not tried,not tried,not tried
248,its_your_thing,the_isley_brothers,391,03:38,-1.0,,billboard,not tried,not tried,not tried
249,misunderstanding,genesis,393,03:15,0.0,,billboard,not tried,not tried,not tried
250,here_come_those_tears_again,jackson_browne,395,03:37,0.0,,billboard,not tried,not tried,not tried
251,fever,peggy_lee,396,03:23,-1.0,,billboard,not tried,not tried,not tried
252,kozmic_blues,janis_joplin,397,04:24,0.0,,billboard,not tried,not tried,not tried
253,one_night,elvis_presley,399,02:31,-1.0,,billboard,not tried,not tried,not tried
254,woman_to_woman,shirley_brown,400,03:55,0.0,,billboard,not tried,not tried,not tried
255,last_kiss,j._frank_wilson__and__the_cavaliers,402,02:28,0.0,,billboard,not tried,not tried,not tried
256,i_never_loved_a_man,aretha_franklin,403,02:44,1.0,,billboard,not tried,not tried,not tried
257,hes_a_rebel,the_crystals,404,02:37,2.0,https://mp3co.ooo/s/the%20crystals%20hes%20a%20rebel/,billboard,not tried,not tried,not tried
258,amie,pure_prairie_league,406,04:21,0.0,,billboard,not tried,not tried,not tried
259,wild_horses,gino_vannelli,407,04:40,0.0,,billboard,not tried,not tried,not tried
260,jimmys_girl,johnny_tillotson,410,02:45,1.0,,billboard,not tried,not tried,not tried
261,sunday_morning_sunshine,harry_chapin,412,03:48,2.0,http://vkmusic.me/harry-chapin-sunday-morning-sunshine/,billboard,not tried,not tried,not tried
262,someone,the_rembrandts,414,03:51,0.0,,billboard,not tried,not tried,not tried
263,golden_years,david_bowie,415,03:29,1.0,,billboard,not tried,not tried,not tried
264,youre_so_square_baby_i_dont_care,joni_mitchell,417,02:38,0.0,,billboard,not tried,not tried,not tried
265,chain_of_fools,aretha_franklin,418,02:48,1.0,,billboard,not tried,not tried,not tried
266,blow_away,george_harrison,419,04:01,0.0,,billboard,not tried,not tried,not tried
267,pinball_wizard,the_who,421,03:01,0.0,,billboard,not tried,not tried,not tried
268,see_see_rider,lavern_baker,425,02:29,1.0,,billboard,not tried,not tried,not tried
269,i_m_goin_down,bruce_springsteen,426,03:32,0.0,,billboard,not tried,not tried,not tried
270,bluebirds_over_the_mountain,the_beach_boys,427,02:51,-1.0,,billboard,not tried,not tried,not tried
271,put_your_hand_in_the_hand,ocean,429,02:56,-1.0,,billboard,not tried,not tried,not tried
272,i_want_a_new_drug,huey_lewis__and__the_news,430,04:46,1.0,,billboard,not tried,not tried,not tried
273,one_bad_apple,the_osmonds,432,02:46,-1.0,,billboard,not tried,not tried,not tried
274,if_i_could_reach_you,the_5th_dimension,433,03:09,1.0,,billboard,not tried,not tried,not tried
275,where_or_when,dion,434,02:40,1.0,,billboard,not tried,not tried,not tried
276,ruby_baby,dion,439,02:37,1.0,,billboard,not tried,not tried,not tried
277,world_in_my_eyes,depeche_mode,442,04:00,-1.0,,billboard,not tried,not tried,not tried
278,better_things,the_kinks,443,03:06,-1.0,,billboard,not tried,not tried,not tried
279,i_really_dont_want_to_know,elvis_presley,444,02:46,0.0,,billboard,not tried,not tried,not tried
280,old_days,chicago,445,03:31,0.0,,billboard,not tried,not tried,not tried
281,back_home_again,john_denver,446,04:46,0.0,,billboard,not tried,not tried,not tried
282,jump_for_my_love,the_pointer_sisters,448,04:02,0.0,,billboard,not tried,not tried,not tried
283,jessies_girl,rick_springfield,450,03:17,1.0,,billboard,not tried,not tried,not tried
284,got_it_made,crosby_stills_and_nash,451,04:34,0.0,,billboard,not tried,not tried,not tried
285,dont_say_you_love_me,billy_squier,452,04:33,1.0,,billboard,not tried,not tried,not tried
286,feel_like_making_love,roberta_flack,454,02:57,-1.0,,billboard,not tried,not tried,not tried
287,with_a_little_luck,paul_mccartney,456,05:46,0.0,,billboard,not tried,not tried,not tried
288,not_fade_away,rolling_stones,457,03:06,0.0,,billboard,not tried,not tried,not tried
289,addicted_to_love,robert_palmer,458,04:25,0.0,,billboard,not tried,not tried,not tried
290,on_broadway,the_drifters,461,03:00,0.0,,billboard,not tried,not tried,not tried
291,seasons_of_the_heart,john_denver,463,03:51,0.0,,billboard,not tried,not tried,not tried
292,flesh_for_fantasy,billy_idol,464,04:38,1.0,,billboard,not tried,not tried,not tried
293,give_to_live,sammy_hagar,465,05:39,0.0,,billboard,not tried,not tried,not tried
294,little_bit_o_soul,the_music_explosion,467,02:23,0.0,,billboard,not tried,not tried,not tried
295,aint_too_proud_to_beg,the_temptations,468,02:34,0.0,,billboard,not tried,not tried,not tried
296,in_your_soul,corey_hart,469,03:55,0.0,,billboard,not tried,not tried,not tried
297,as_usual,brenda_lee,471,02:38,0.0,,billboard,not tried,not tried,not tried
298,sweet_music_man,kenny_rogers,472,04:20,0.0,,billboard,not tried,not tried,not tried
299,come_together,the_beatles,473,04:20,0.0,,billboard,not tried,not tried,not tried
300,silver_threads_and_golden_needles,the_cowsills,474,03:01,0.0,,billboard,not tried,not tried,not tried
301,daydream_believer,anne_murray,475,02:27,0.0,,billboard,not tried,not tried,not tried
302,i_adore_mi_amor,color_me_badd,476,04:51,-1.0,,billboard,not tried,not tried,not tried
303,carrie-anne,the_hollies,477,02:55,0.0,,billboard,not tried,not tried,not tried
304,one_last_kiss,j._geils_band,478,04:24,1.0,,billboard,not tried,not tried,not tried
305,wendy,the_beach_boys,479,02:19,0.0,,billboard,not tried,not tried,not tried
306,give_it_to_me_baby,rick_james,480,03:54,1.0,,billboard,not tried,not tried,not tried
307,baby_baby_dont_cry,the_miracles,481,03:59,0.0,,billboard,not tried,not tried,not tried
